date,tp,t2m,ssr,str,sp
5/10/1984,7.22,278.0235074,14572715.89,-5179453.26,70609.33972
5/11/1984,8.06,277.451853,13184261.43,-4825628.278,70593.72066
5/12/1984,6.91,277.3633062,13924166.28,-5167677.04,70519.02326
5/13/1984,5.38,277.9654621,15064059.42,-5498610.287,70430.29836
5/14/1984,5.53,278.3850221,16551802.05,-5705648.125,70306.26534
5/15/1984,3.94,278.9786104,17020969.49,-5849969.595,70298.80457
5/16/1984,4.53,279.9407654,15246194.21,-5503980.532,70491.62873
5/17/1984,7.25,280.1477341,15108299.57,-5537096.501,70688.49538
5/18/1984,15.18,279.8698916,13957389.44,-5510674.945,70449.73268
5/19/1984,20.72,279.8693012,14769998.57,-5697523.049,70310.97206
5/20/1984,10.68,279.5107203,15887735.16,-6531958.888,70615.80749
5/21/1984,6.5,280.5246464,16764810.39,-6178291.574,70505.49316
5/22/1984,22.39,280.2292832,13928791.63,-5250936.629,70408.33252
5/23/1984,26.91,279.6570358,14205096.25,-5532603.855,70473.20174
5/24/1984,13.2,279.2192465,15138206.62,-6083174.96,70516.47667
5/25/1984,8.54,279.4029327,14898896.23,-6000047.896,70677.96
5/26/1984,3.99,280.7347633,17160349.07,-6161462.97,70778.54472
5/27/1984,3.92,280.7103454,16932631.63,-6092706.074,70663.97145
5/28/1984,7.56,281.6110518,16025387.15,-5449405.308,70443.7282
5/29/1984,10.81,281.7325726,15324715.07,-5026851.909,70335.24078
5/30/1984,13.12,281.3608746,14331850.78,-4565384.569,70409.58346
5/31/1984,7.7,280.6884601,14716615.09,-4979884.765,70535.45402
6/1/1984,2.18,280.2681972,18984550.25,-7173068.851,70608.97283
6/2/1984,0.8,280.9218958,22223012.92,-8859704.179,70654.40681
6/3/1984,0.8,282.3689097,22706715.54,-8416703.782,70765.6124
6/4/1984,2.11,283.1570444,21434298.57,-7155162.761,70818.4712
6/5/1984,6.15,282.7799229,18341553.62,-6104212.627,70677.07208
6/6/1984,9.96,283.4769232,16018683.13,-4936701.43,70497.16323
6/7/1984,15.19,283.3252618,13526290.3,-4322417.502,70556.98559
6/8/1984,15.18,283.798349,13036141.71,-3969073.776,70675.15212
6/9/1984,15.49,283.4200704,14379684.4,-4120590.393,70714.86542
6/10/1984,19.25,283.4376303,12586979.45,-3652456.875,70673.77059
6/11/1984,23.29,283.3067994,11402351.19,-3370540.799,70532.61011
6/12/1984,12.96,283.4237631,12694161.87,-3672963.691,70338.6892
6/13/1984,8.03,282.9391408,16474131.1,-4862871.024,70372.6639
6/14/1984,10.31,283.1636557,17562609.29,-5075495.358,70498.7855
6/15/1984,15.77,283.391091,14479795.05,-4343595.876,70319.32036
6/16/1984,28.33,282.9950584,12069538.07,-3755263.172,70128.5542
6/17/1984,26.35,280.4497254,11433443.83,-4977999.583,70237.39464
6/18/1984,8.23,281.7436638,16764105.63,-6898356.943,70140.43677
6/19/1984,11.69,282.747596,13427979.34,-4316431.763,69985.89909
6/20/1984,13.63,282.8948178,12234176.61,-3808096.813,69917.85799
6/21/1984,10.48,282.8591962,14182415.63,-4451145.311,70070.5484
6/22/1984,6.58,283.3324944,16886684.52,-5199288.781,70202.1518
6/23/1984,9.34,283.4381717,18610114.35,-5575320.825,70358.17736
6/24/1984,14.47,283.7652059,13886492.9,-4120097.193,70254.28805
6/25/1984,22.38,283.0469057,12653044.76,-3447263.073,70242.32348
6/26/1984,18.32,281.6335592,10770614.49,-3404367.583,70387.05754
6/27/1984,6.49,281.182096,14819522.76,-5603658.417,70480.39959
6/28/1984,5.9,281.9050361,19181492,-6746577.856,70405.4906
6/29/1984,11.64,282.6909785,17265767.36,-6137014.513,70358.60575
6/30/1984,12.43,283.3359623,15112145.06,-5163803.995,70483.36562
7/1/1984,10.11,283.6340442,15585816.61,-4654650.449,70650.10131
7/2/1984,9.44,283.8062279,15454808.43,-4379197.506,70596.2692
7/3/1984,12.09,284.2345535,14802895.8,-4155570.021,70419.13106
7/4/1984,13.26,284.4310197,13856728.07,-3845308.836,70454.45473
7/5/1984,13.41,284.3225995,13185541.17,-3797232.079,70514.01815
7/6/1984,15.01,284.0766735,11961357.8,-3286211.361,70475.22894
7/7/1984,20.56,284.0510667,12054121.14,-3283529.874,70422.85969
7/8/1984,25.22,283.6207562,10085894.23,-2829884.11,70378.51128
7/9/1984,22.06,283.6598899,10220017.86,-2959763.787,70377.2013
7/10/1984,22.03,283.6331823,12494537.26,-3618753.193,70292.71479
7/11/1984,21.39,283.5535912,12252580.55,-3761332.668,70391.97724
7/12/1984,22.42,283.3333439,12565737.64,-3806783.873,70614.3935
7/13/1984,23.11,283.0079516,9970036.248,-3164698.634,70599.88163
7/14/1984,17.86,282.9590937,12020956.92,-3672537.736,70380.69344
